time,deb
2021-12-10 01:00:00,702885.6376860434
2021-12-10 02:00:00,529931.2370908582
2021-12-10 03:00:00,361603.34396413143
2021-12-10 04:00:00,220278.1787716849
2021-12-10 05:00:00,147019.72801901144
2021-12-10 06:00:00,153993.63212356757
2021-12-10 07:00:00,320166.8529147375
2021-12-10 08:00:00,551748.385393643
2021-12-10 09:00:00,800120.2582329937
2021-12-10 10:00:00,868640.2786215557
2021-12-10 11:00:00,890657.308310492
2021-12-10 12:00:00,910153.1296981781
2021-12-10 13:00:00,915073.4469720722
2021-12-10 14:00:00,928582.8683711762
2021-12-10 15:00:00,884367.0863441974
2021-12-10 16:00:00,951288.3279362224
2021-12-10 17:00:00,904258.8528765419
2021-12-10 18:00:00,890361.2448431037
2021-12-10 19:00:00,937280.8044585355
2021-12-10 20:00:00,947155.908713818
2021-12-10 21:00:00,904072.5178254545
2021-12-10 22:00:00,717625.4889968851
2021-12-10 23:00:00,651632.3307487849
2021-12-11 00:00:00,758548.4913321205
2021-12-11 01:00:00,760251.6050914932
2021-12-11 02:00:00,608406.5421993134
2021-12-11 03:00:00,524784.2221822168
2021-12-11 04:00:00,437787.16377646633
2021-12-11 05:00:00,384691.8247196682
2021-12-11 06:00:00,305424.0550080248
2021-12-11 07:00:00,262900.1491894543
2021-12-11 08:00:00,307971.053645818
2021-12-11 09:00:00,479547.7980836688
2021-12-11 10:00:00,650179.8683759326
2021-12-11 11:00:00,772414.9381525861
2021-12-11 12:00:00,796152.529070421
2021-12-11 13:00:00,806912.3097333149
2021-12-11 14:00:00,813949.1103260659
2021-12-11 15:00:00,797271.6178765934
2021-12-11 16:00:00,820289.0696703246
2021-12-11 17:00:00,888878.901966369
2021-12-11 18:00:00,799194.1374772588
2021-12-11 19:00:00,777615.6460364672
2021-12-11 20:00:00,910457.5666767041
2021-12-11 21:00:00,903105.8213249827
2021-12-11 22:00:00,745310.5825200913
2021-12-11 23:00:00,691818.4133165597
2021-12-12 00:00:00,710178.8331655641
2021-12-12 01:00:00,777723.8556804922
2021-12-12 02:00:00,669440.3772562635
2021-12-12 03:00:00,592458.4725173473
2021-12-12 04:00:00,516213.5979894338
2021-12-12 05:00:00,381275.1171473079
2021-12-12 06:00:00,267731.31749871955
2021-12-12 07:00:00,207173.6051576718
2021-12-12 08:00:00,217288.91304383997
2021-12-12 09:00:00,285285.45062257326
2021-12-12 10:00:00,390241.043509863
2021-12-12 11:00:00,500447.58367900184
2021-12-12 12:00:00,605791.1784697326
2021-12-12 13:00:00,764167.571489711
2021-12-12 14:00:00,763112.6656528512
2021-12-12 15:00:00,742763.8506019545
2021-12-12 16:00:00,775161.8193278452
2021-12-12 17:00:00,881440.185135272
2021-12-12 18:00:00,888535.8522127538
2021-12-12 19:00:00,920286.3990911702
2021-12-12 20:00:00,990585.4285170056
2021-12-12 21:00:00,849382.7191813147
2021-12-12 22:00:00,651274.2061956496
2021-12-12 23:00:00,542035.1401354277
2021-12-13 00:00:00,483362.5859407436
2021-12-13 01:00:00,348397.1156779162
2021-12-13 02:00:00,192237.44218880654
2021-12-13 03:00:00,141255.5192255801
2021-12-13 04:00:00,110593.77005866116
2021-12-13 05:00:00,57000.67225358995
2021-12-13 06:00:00,139775.2243526106
2021-12-13 07:00:00,290593.3684808931
2021-12-13 08:00:00,584441.8308902114
2021-12-13 09:00:00,785521.24867957
2021-12-13 10:00:00,925491.067389159
2021-12-13 11:00:00,854652.4841861195
2021-12-13 12:00:00,806574.8769401334
2021-12-13 13:00:00,890135.0520733453
2021-12-13 14:00:00,832754.6719990891
2021-12-13 15:00:00,847732.8739650728
2021-12-13 16:00:00,912055.58742792
2021-12-13 17:00:00,928527.8471313973
2021-12-13 18:00:00,865756.8043158895
2021-12-13 19:00:00,921568.1786018467
2021-12-13 20:00:00,1004396.6919728374
2021-12-13 21:00:00,877563.9351345462
2021-12-13 22:00:00,641028.1874592702
2021-12-13 23:00:00,599270.5271098791
2021-12-14 00:00:00,616554.180122975
2021-12-14 01:00:00,456970.65567021904
2021-12-14 02:00:00,259377.70573298904
2021-12-14 03:00:00,150449.4023099069
2021-12-14 04:00:00,113557.34059457354
2021-12-14 05:00:00,103006.2697441827
2021-12-14 06:00:00,147211.9337300687
2021-12-14 07:00:00,311312.9591848071
2021-12-14 08:00:00,566605.3320985177
2021-12-14 09:00:00,812259.691572756
2021-12-14 10:00:00,962348.1226701249
2021-12-14 11:00:00,936847.8260481774
2021-12-14 12:00:00,945110.9113275761
2021-12-14 13:00:00,1009283.8523215725
2021-12-14 14:00:00,938771.6782161808
2021-12-14 15:00:00,972818.4856453367
2021-12-14 16:00:00,996599.6845118897
2021-12-14 17:00:00,948444.657160083
2021-12-14 18:00:00,933132.7652025674
2021-12-14 19:00:00,976865.3593691546
2021-12-14 20:00:00,1075275.5315509217
2021-12-14 21:00:00,1033148.1819502695
2021-12-14 22:00:00,755988.0371932609
2021-12-14 23:00:00,692471.1622270998
2021-12-15 00:00:00,781309.3786269787
